No,Question,A,B,C,D,Correct Answer,
1,What is purpose of the markup language?,Add hypertext capabilities,Enhance the document,Make a console application,None of the above,A,B
2,What HTML stands for?,HighText Machine Language,HyperText and links Markup Language,HyperText Markup Language,None of these,C,
3,Which of the following element is responsible for making the text bold in HTML?,<pre>,<a>,<b>,<br>,C,
4,Which of the following tag is used for inserting the largest heading in HTML?,<h3>,<h1>,<h5>,<h6>,B,
5,Which of the following tag is used to insert a line-break in HTML?,<br>,<a>,<pre>,<b>,A,
6,How to create an unordered list (a list with the list items in bullets) in HTML?,<ul>,<ol>,<li>,<i>,A,
7,Which of the following HTML attribute is used to define inline styles?,style,type,class,None of the above,A,
8,Which of the following is the paragraph tag in HTML?,<p>,<b>,<pre>,None of the above,A,
9,Which of the following is the root tag of the HTML document?,<body>,<head>,<title>,<html>,D,
10,Which of the following tag is used to create a combo box (or drop-down box)?,<list>,<select>,<input type = "dropdown">,<ul>,B,